0.045454545454545456;1;8;4;3;6.155971;{'company': 'long beach', 'phone_number': '51.70', 'server': '53.00', 'order_number': '56.58', 'table': '26/07/2016', 'sub_total': 9.0, 'tax': 57.0, 'total': 6.8};['station', 'guests', 'date', 'time'];['Coffee', 'Lunch', 'Coke']
0.043478260869565216;1;10;0;4;4.788576;{'company': 'cafe', 'server': 'steve', 'order_number': '15', 'table': '7', 'guests': 2, 'sub_total': 13.95, 'tax': 2.95, 'total': 16.9, 'date': '04/25/24', 'time': '12:47'};[];['Coffee', 'Chicken Parmesan', 'Prime Top Sirloin', 'The Bacon-Cheese Burger']
0.0625;1;9;0;2;4.188533;{'company': 'chipotle mexican grill', 'phone_number': '303-542-1303', 'server': 'unknown', 'order_number': 'Unknown', 'sub_total': 10.98, 'tax': 1.98, 'total': 12.96, 'date': 'Unknown', 'time': 'unknown'};[];['Power Veg Bowl', 'Rg Orange Crsh Fz']
0.21428571428571427;3;8;0;1;4.543592;{'company': 'miami', 'phone_number': '(305) 686-3176', 'server': 'bill', 'order_number': '11', 'tax': 0.5, 'total': 5.5, 'date': '2017-04-20', 'time': '10:13:25'};[];['Miller Lite']
0.058823529411764705;1;7;0;3;4.945311;{'company': 'unknown', 'phone_number': 'Unknown', 'order_number': 'Unknown', 'tax': 4.97, 'total': 23.97, 'date': 'Unknown', 'time': 'unknown'};[];['CHKN PLATE', 'AVOCADO', 'DRINK']
0.06060606060606061;2;10;0;7;4.309883;{'company': 'san diego steakhouse', 'phone_number': '858-7410', 'server': 'john', 'order_number': '15', 'table': '107', 'sub_total': 179.94, 'tax': 36.74, 'total': 216.68, 'date': '08/15/2024', 'time': '5:01 pm'};[];['Draft Blackhouse', '"Cowboy" 16oz Ribeye', 'Make It Blue', 'Add Lobster', 'CK Manhattan', 'Whistle Pig Rye 10yr', '"Duke" 16oz Top Sirloin']
0.030303030303030304;1;8;0;8;4.948462;{'company': 'sushi deluxe', 'phone_number': '578-88', 'order_number': 'Unknown', 'sub_total': 20.0, 'tax': 15.0, 'total': 35.0, 'date': 'Unknown', 'time': 'unknown'};[];['Hi.Chk Steak(K)', 'Med', 'Noodle', 'Sushi Deluxe', 'Glenmont Roll', 'Philly R', 'Sp Tuna R', 'Salmon R']
0.05263157894736842;2;9;0;9;5.022986;{'company': 'sushi house', 'phone_number': '253-535-3739', 'server': 'michael', 'table': '12', 'sub_total': 12.71, 'tax': 1.2, 'total': 14.0, 'date': '05/16/2024', 'time': '8:17 pm'};[];['Hamachi Collar', 'Mega Poke Bowl', 'Hamachi - Sashimi', 'Maguro - Sashimi', 'Salmon - Sashimi', 'Sockeye Salmon - Sashimi', 'Hamachi Japapeno', 'Salmon Collar', 'Escolar - Sashimi']
0.05;1;4;0;5;4.873015;{'company': 'restaurant', 'sub_total': 18.5, 'tax': 4.7, 'total': 23.2};[];['CHicharon', 'Pupusa Queso', 'Platanos Orden', 'Diet coke', 'Quesadilla salvadorena']
0.05;1;0;10;3;3.997595;{};['company', 'phone_number', 'server', 'order_number', 'table', 'sub_total', 'tax', 'total', 'date', 'time'];['Steak Tip Skewers', 'Piatto Gorgonzola', 'Root Beer']
0.07692307692307693;2;8;1;5;4.244924;{'company': 'unknown', 'phone_number': 'Unknown', 'server': 'unknown', 'order_number': 'Unknown', 'tax': 6.4, 'total': 77.8, 'date': 'Unknown', 'time': 'unknown'};['guests'];['Cadillac Margarita Patron Silver', 'Maryland Crab Cakes', 'Chicken Caprese', 'Chix Parm Sandwich', 'Bud Light']
